image	type
string	d
meta type=image	class
/Users/KevinGao/Desktop/fiber_clot/fiber/16x16_new/trainingtraining_set2.38.32.png	1
/Users/KevinGao/Desktop/fiber_clot/fiber/16x16_new/trainingtraining_set2.39.11.png	1
/Users/KevinGao/Desktop/fiber_clot/fiber/16x16_new/trainingtraining_set2.39.18.png	1
/Users/KevinGao/Desktop/fiber_clot/fiber/16x16_new/trainingtraining_set2.39.25.png	1
/Users/KevinGao/Desktop/fiber_clot/fiber/16x16_new/trainingtraining_set2.39.29.png	1
/Users/KevinGao/Desktop/fiber_clot/fiber/16x16_new/trainingtraining_set2.39.34.png	1
/Users/KevinGao/Desktop/fiber_clot/fiber/16x16_new/trainingtraining_set2.39.49.png	1
/Users/KevinGao/Desktop/fiber_clot/fiber/16x16_new/trainingtraining_set2.39.52.png	1
/Users/KevinGao/Desktop/fiber_clot/fiber/16x16_new/trainingtraining_set2.39.57.png	1
/Users/KevinGao/Desktop/fiber_clot/fiber/16x16_new/trainingtraining_set2.40.17.png	1
/Users/KevinGao/Desktop/fiber_clot/fiber/16x16_new/trainingtraining_set2.40.21.png	1
/Users/KevinGao/Desktop/fiber_clot/fiber/16x16_new/trainingtraining_set2.40.24.png	1
/Users/KevinGao/Desktop/fiber_clot/fiber/16x16_new/trainingtraining_set2.40.27.png	1
/Users/KevinGao/Desktop/fiber_clot/fiber/16x16_new/trainingtraining_set2.40.30.png	1
/Users/KevinGao/Desktop/fiber_clot/fiber/16x16_new/trainingtraining_set2.40.33.png	1
/Users/KevinGao/Desktop/fiber_clot/fiber/16x16_new/trainingtraining_set2.40.37.png	1
/Users/KevinGao/Desktop/fiber_clot/fiber/16x16_new/trainingtraining_set2.40.55.png	1
/Users/KevinGao/Desktop/fiber_clot/fiber/16x16_new/trainingtraining_set2.40.58.png	1
/Users/KevinGao/Desktop/fiber_clot/fiber/16x16_new/trainingtraining_set2.41.01.png	1
/Users/KevinGao/Desktop/fiber_clot/fiber/16x16_new/trainingtraining_set2.41.04.png	1
/Users/KevinGao/Desktop/fiber_clot/fiber/16x16_new/trainingtraining_set2.41.20.png	1
/Users/KevinGao/Desktop/fiber_clot/fiber/16x16_new/trainingtraining_set2.41.23.png	1
/Users/KevinGao/Desktop/fiber_clot/fiber/16x16_new/trainingtraining_set2.41.25.png	1
/Users/KevinGao/Desktop/fiber_clot/fiber/16x16_new/trainingtraining_set2.41.27.png	1
/Users/KevinGao/Desktop/fiber_clot/fiber/16x16_new/trainingtraining_set2.41.30.png	1
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.50.55.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.51.01.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.51.07.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.51.11.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.51.15.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.51.19.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.51.23.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.51.26.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.51.30.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.51.34.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.51.37.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.51.41.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.51.44.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.51.48.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.52.26.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.52.30.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.52.34.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.52.37.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.52.40.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.52.43.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.52.48.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.52.50.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.52.53.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.52.55.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.52.57.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.52.59.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.53.02.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.53.04.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.53.08.png	0
/Users/KevinGao/Desktop/background/new16x16/trainingtraining_set9.53.14.png	0
